statecode,countycode,fipscode,state,county,year,county_ranked,premature_death_raw_value,adult_smoking_raw_value,adult_obesity_raw_value,physical_inactivity_raw_value,excessive_drinking_raw_value,uninsured_raw_value,some_college_raw_value,unemployment_raw_value,children_in_poverty_raw_value,income_inequality_raw_value,children_in_single_parent_households_raw_value,social_associations_raw_value,severe_housing_problems_raw_value,driving_alone_to_work_raw_value,long_commute_driving_alone_raw_value
1,1,1001,AL,Autauga County,2019,1.0,8824.0571232,0.191246585,0.375,0.311,0.1687801512,0.085009665,0.6085466499000001,0.0386352233,0.193,4.636663877799999,0.24700096859999998,12.631730908,0.1495464575,0.8596505653000001,0.38299999999999995
1,3,1003,AL,Baldwin County,2019,1.0,7224.6321603,0.16795485149999997,0.31,0.23800000000000002,0.16714968689999998,0.10699288039999999,0.6613392634,0.0398833641,0.147,4.5185596041,0.2518409096,10.692212904,0.1383172525,0.8471942348,0.405
1,5,1005,AL,Barbour County,2019,1.0,9586.165037,0.2154087757,0.44299999999999995,0.282,0.1269871542,0.12513196640000002,0.36774008049999996,0.0590092278,0.503,5.7550626063,0.5721574344,8.4729443482,0.15455531449999999,0.8340435333,0.33799999999999997
1,7,1007,AL,Bibb County,2019,1.0,11783.543675,0.1991640424,0.37799999999999995,0.349,0.15925150789999998,0.09680075279999999,0.4840631037,0.043851399000000006,0.273,4.2545944386,0.2956540355,10.15766462,0.1096085409,0.8636590229000001,0.486
1,9,1009,AL,Blount County,2019,1.0,10908.101822,0.19652158179999998,0.344,0.285,0.1537872189,0.1211400416,0.5441399754,0.0402139299,0.185,4.1268834637000005,0.2956973294,9.0115070012,0.1040115301,0.8679227508,0.597
1,11,1011,AL,Bullock County,2019,1.0,12066.910263,0.2347829118,0.39399999999999996,0.292,0.1289631731,0.1320648344,0.33620689659999997,0.0492518703,0.483,6.5995234786,0.7615740741,9.650646593300001,0.2075983718,0.7307692308,0.473
1,13,1013,AL,Butler County,2019,1.0,14018.606262000001,0.2219765552,0.402,0.34700000000000003,0.1304281127,0.1066708425,0.3844417077,0.054884864699999994,0.33,5.1227855834,0.5256438477,11.501150115,0.1378026071,0.8356290174,0.318
1,15,1015,AL,Calhoun County,2019,1.0,12217.759984,0.2046223175,0.371,0.302,0.1543167701,0.1119820587,0.5752221569,0.0493396516,0.242,4.9838135691000005,0.3929777178,14.309272234000002,0.1453881076,0.8502235951999999,0.306
1,17,1017,AL,Chambers County,2019,1.0,11273.170979999999,0.2204036962,0.40299999999999997,0.324,0.13528450890000002,0.1065698299,0.4713993871,0.0407880865,0.29600000000000004,4.7392343032,0.48405594409999997,17.728924741,0.1606819006,0.8710764693,0.309
1,19,1019,AL,Cherokee County,2019,1.0,11294.41054,0.1914485261,0.363,0.318,0.1523273067,0.1189542484,0.5006360167,0.0405405405,0.25,4.786069357300001,0.2642244739,10.106899903,0.1546985816,0.8497585038,0.434
1,21,1021,AL,Chilton County,2019,1.0,10831.917358,0.1967327502,0.353,0.312,0.1506431265,0.1421126258,0.3879891447,0.0404854064,0.226,4.969531974100001,0.3520909616,16.385607974000003,0.1305820758,0.8317611872,0.49200000000000005
1,23,1023,AL,Choctaw County,2019,1.0,12047.187076999999,0.1906205957,0.413,0.326,0.1302524035,0.11283273740000001,0.5525179856,0.06388376379999999,0.348,5.7710777838,0.4265526218,20.780420226,0.133632287,0.8179669031,0.45899999999999996
1,25,1025,AL,Clarke County,2019,1.0,9688.3738435,0.20933322710000002,0.396,0.32299999999999995,0.1335369528,0.11380654429999999,0.3866786679,0.08484455960000001,0.319,8.165117393400001,0.3463541667,18.448671695999998,0.1268191268,0.8366431775,0.34299999999999997
1,27,1027,AL,Clay County,2019,1.0,9666.0412363,0.19139404440000002,0.377,0.306,0.1481913369,0.134434634,0.4082721815,0.043698654100000005,0.255,4.9053231939,0.3755735969,11.858879336,0.1429889299,0.8752313958,0.39399999999999996
1,29,1029,AL,Cleburne County,2019,1.0,11985.555305,0.1971051177,0.345,0.287,0.1597004722,0.1189959973,0.4991457859,0.0445837687,0.22399999999999998,4.9114021572,0.20487232170000003,8.7108013937,0.116017316,0.8182483086,0.495
1,31,1031,AL,Coffee County,2019,1.0,7933.129666399999,0.18201220899999998,0.33399999999999996,0.303,0.15528419699999998,0.10804120789999999,0.6049420378,0.0438778966,0.248,4.7834285714,0.3681077953,15.812282825,0.1221294363,0.8664650932,0.245
1,33,1033,AL,Colbert County,2019,1.0,10332.484037999999,0.1837114645,0.325,0.33,0.1582277262,0.09705010000000001,0.5604963009,0.052095964,0.222,4.9345389415,0.35580138920000004,17.338055187000002,0.1454627336,0.8907331835,0.272
